JVET number,MPEG number,Created,First upload,Last upload,Title,Source,Download Link,Type
JVET-Q0685,m52648,2020-01-08 07:13:58,2020-01-08 09:17:00,2020-01-13 05:12:31,A unified MTS and LFNST signaling based on the DC coefficient combined with JVET-Q0057,"H.E. Egilmez, A. Nalci, M. Coban, V. Seregin, M. Karczewicz (Qualcomm), X. Xiu, Y.-W. Chen, T.-C. Ma, H.-J. Jhu, X. Wang (Kwai)",https://jvet-experts.org/doc_end_user/documents/17_Brussels/wg11/JVET-Q0685-v4.zip,0
JVET-Q0686,m52649,2020-01-08 07:15:34,2020-01-08 09:14:40,2020-01-13 21:23:12,Chroma LFNST Simplification and Signaling,"H.E. Egilmez, A. Nalci, M. Coban, V. Seregin, M. Karczewicz (Qualcomm)",https://jvet-experts.org/doc_end_user/documents/17_Brussels/wg11/JVET-Q0686-v4.zip,0
JVET-Q0687,m52650,2020-01-08 07:17:29,2020-01-11 10:20:21,2020-01-11 20:41:15,Crosscheck of JVET-Q0499 (On LFNST signaling with Transform-skip mode),H.E. Egilmez (Qualcomm),https://jvet-experts.org/doc_end_user/documents/17_Brussels/wg11/JVET-Q0687-v2.zip,3
JVET-Q0688,m52651,2020-01-08 08:09:59,2020-01-08 09:19:45,2020-01-08 09:19:45,Crosscheck of JVET-Q0497 ( Simplification of Rice parameter derivation for RRC ),H. Wang (Qualcomm),https://jvet-experts.org/doc_end_user/documents/17_Brussels/wg11/JVET-Q0688-v1.zip,3
JVET-Q0689,m52652,2020-01-08 09:05:30,2020-01-09 08:47:04,2020-01-12 14:05:46,Crosscheck of JVET-Q0193 (LFNST signalling cleanup with TS checking),"C.-C. Kuo, S.-P. Wang, C.-C. Lin (ITRI)",https://jvet-experts.org/doc_end_user/documents/17_Brussels/wg11/JVET-Q0689-v2.zip,3
JVET-Q0690,m52653,2020-01-08 09:05:55,2020-01-08 15:34:53,2020-01-08 15:34:53,Crosscheck of JVET-Q0249: Clipping flag clean-up for chroma adaptive loop filters,J. Ström,https://jvet-experts.org/doc_end_user/documents/17_Brussels/wg11/JVET-Q0690-v1.zip,3
JVET-Q0691,m52654,2020-01-08 09:07:16,2020-01-08 16:56:47,2020-01-08 16:56:47,Crosscheck of JVET-Q0315: Non-CE4: Triangular prediction mode with motion vector difference,J. Ström,https://jvet-experts.org/doc_end_user/documents/17_Brussels/wg11/JVET-Q0691-v1.zip,3
JVET-Q0692,m52655,2020-01-08 09:07:58,2020-01-16 18:13:35,2020-01-16 18:13:35,Crosscheck of JVET-Q0127: Non-CE4: On merge list generation for geometric partitioning,H. Gao (Huawei),https://jvet-experts.org/doc_end_user/documents/17_Brussels/wg11/JVET-Q0692-v1.zip,3
JVET-Q0693,m52656,2020-01-08 09:08:41,2020-01-08 17:51:19,2020-01-08 17:51:19,Crosscheck of JVET-Q0490: CE3-related: Simplification of rice parameter derivation,J. Ström,https://jvet-experts.org/doc_end_user/documents/17_Brussels/wg11/JVET-Q0693-v1.zip,3
JVET-Q0694,m52657,2020-01-08 09:16:02,2020-01-08 09:19:01,2020-01-08 18:26:02,AHG12: A summary of proposals on subpicture extraction,R. Skupin (HHI),https://jvet-experts.org/doc_end_user/documents/17_Brussels/wg11/JVET-Q0694-v2.zip,2
JVET-Q0695,m52658,2020-01-08 09:17:06,2020-01-09 08:41:00,2020-01-16 18:29:47,Combined encoder improvements of JVET-Q0101/JVET-Q0408/JVET-Q0514 on JCCR with chroma transform skip,"X. Xiu, Y.-W. Chen, T.-C. Ma, H.-J. Jhu, X. Wang (Kwai), B. Ray, G. Van der Auwera, M. Karczewicz (Qualcomm), T. Tsukuba, M. Ikeda, Y. Yagasaki, T. Suzuki (Sony)",https://jvet-experts.org/doc_end_user/documents/17_Brussels/wg11/JVET-Q0695-v4.zip,0
JVET-Q0696,m52659,2020-01-08 09:35:12,2020-01-09 19:34:22,2020-01-09 19:34:22,Crosscheck of JVET-Q0380 (LFNST restriction based on MIP),L. Li (Tencent),https://jvet-experts.org/doc_end_user/documents/17_Brussels/wg11/JVET-Q0696-v1.zip,3
JVET-Q0697,m52660,2020-01-08 09:36:35,2020-01-09 20:02:06,2020-01-09 20:02:06,Crosscheck of JVET-Q0302 (Simplified contexts in intra prediction),L. Li (Tencent),https://jvet-experts.org/doc_end_user/documents/17_Brussels/wg11/JVET-Q0697-v1.zip,3
JVET-Q0698,m52661,2020-01-08 09:37:47,2020-01-11 09:06:10,2020-01-11 09:06:10,Crosscheck of JVET-Q0293 (Removal of chroma Nx2 blocks in PDPC),L. Li (Tencent),https://jvet-experts.org/doc_end_user/documents/17_Brussels/wg11/JVET-Q0698-v1.zip,3
JVET-Q0699,m52662,2020-01-08 09:39:37,2020-01-16 15:56:53,2020-01-16 15:56:53,Crosscheck of JVET-Q0510 (ACT color conversion for both lossless and lossy coding),L. Li (Tencent),https://jvet-experts.org/doc_end_user/documents/17_Brussels/wg11/JVET-Q0699-v1.zip,3
JVET-Q0700,m52664,2020-01-08 09:42:23,2020-01-11 15:41:30,2020-01-12 09:37:03,Cross-check of JVET-Q0266 on TPM and GEO merge modes in presence of weighted prediction,P. Onno (Canon),https://jvet-experts.org/doc_end_user/documents/17_Brussels/wg11/JVET-Q0700-v2.zip,3
JVET-Q0701,m52665,2020-01-08 09:45:30,2020-01-09 21:17:03,2020-01-09 21:17:03,Crosscheck of JVET-Q0099 (On Interaction of LFNST and Transform Skip),"S. Iwamura, Y. Kondo, K. Iguchi (NHK)",https://jvet-experts.org/doc_end_user/documents/17_Brussels/wg11/JVET-Q0701-v1.zip,3
JVET-Q0702,m52666,2020-01-08 09:45:56,2020-01-08 09:51:55,2020-01-10 12:02:01,Non-CE2: On palette predictor initialization in WPP,"Y.-H. Chao, C.-H. Hung, W.-J. Chien, V. Seregin, M. Karczewicz (Qualcomm), J. Luo, Y. Ye, R.-L. Liao, M. Sarwer, J. Chen (Alibaba)",https://jvet-experts.org/doc_end_user/documents/17_Brussels/wg11/JVET-Q0702-v2.zip,1
JVET-Q0703,m52667,2020-01-08 09:46:29,2020-01-09 21:18:24,2020-01-09 21:18:24,Crosscheck of JVET-Q0090 (On constraint on DC only flag in LFNST),"S. Iwamura, Y. Kondo, K. Iguchi (NHK)",https://jvet-experts.org/doc_end_user/documents/17_Brussels/wg11/JVET-Q0703-v1.zip,3
JVET-Q0704,m52668,2020-01-08 09:48:28,2020-01-10 20:38:18,2020-01-10 20:38:18,Crosscheck of JVET-Q0369 (Restricting MIP for ACT coded CUs),"S. Iwamura, Y. Kondo, K. Iguchi (NHK)",https://jvet-experts.org/doc_end_user/documents/17_Brussels/wg11/JVET-Q0704-v1.zip,3
JVET-Q0705,m52669,2020-01-08 09:56:24,2020-01-08 12:10:59,2020-01-12 12:12:43,Crosscheck of JVET-Q0522 (Non-CE4: Early termination of DMVR and study of its pixel coverage),H.-J. Jhu (Kwai Inc.),https://jvet-experts.org/doc_end_user/documents/17_Brussels/wg11/JVET-Q0705-v2.zip,3
JVET-Q0706,m52670,2020-01-08 09:58:44,2020-01-09 08:20:38,2020-01-09 08:20:38,Crosscheck of JVET-Q0056 (CE3-related: Level prediction for transform skip samples),Y. Kato (Panasonic),https://jvet-experts.org/doc_end_user/documents/17_Brussels/wg11/JVET-Q0706-v1.zip,3
JVET-Q0707,m52671,2020-01-08 09:58:53,2020-01-09 08:22:21,2020-01-09 08:22:21,Crosscheck of JVET-Q0137 (CE3-related: Rice Parameter Derivation with Unified Lookup Table),Y. Kato (Panasonic),https://jvet-experts.org/doc_end_user/documents/17_Brussels/wg11/JVET-Q0707-v1.zip,3
JVET-Q0708,m52672,2020-01-08 09:59:56,2020-01-16 08:40:30,2020-01-16 08:40:30,Crosscheck of JVET-Q0243 (Additional support of dependent quantization with 8 states),M. Coban (Qualcomm),https://jvet-experts.org/doc_end_user/documents/17_Brussels/wg11/JVET-Q0708-v1.zip,3
JVET-Q0710,m52674,2020-01-08 10:06:26,2020-01-08 13:16:11,2020-01-08 13:16:11,Joint solution for GEO parameter adjustment (JVET-Q0168 and JVET-Q0339),"Y. Morigami, M. Ikeda, T. Suzuki (Sony), N. Park, J. Nam, H. Jang, J. Lim, S. Kim (LGE)",https://jvet-experts.org/doc_end_user/documents/17_Brussels/wg11/JVET-Q0710-v1.zip,0
JVET-Q0711,m52675,2020-01-08 10:09:59,2020-01-08 10:12:52,2020-01-08 10:12:52,Crosscheck of JVET-Q0131 (Non-CE4: GEO with mode reduction),"K. Reuzé, H. Huang, W.-J. Chen, V. Seregin, M. Karczewicz (Qualcomm)",https://jvet-experts.org/doc_end_user/documents/17_Brussels/wg11/JVET-Q0711-v1.zip,3
JVET-Q0712,m52676,2020-01-08 10:24:46,2020-01-08 13:04:59,2020-01-10 20:02:46,Non-CE2: Extention of error limit table in JVET-Q0503 to high QP,"Y.-H. Chao, C.-H.  Hung, W.-J. Chien, V. Seregin, M. Karczewicz (Qualcomm), H.-J. Jhu, X. Xiu, Y.-W. Chen, T.-C. Ma, X. Wang (Kwai), R.-L. Liao, M. Sarwer, J. Chen, Y. Ye, J. Luo (Alibaba)",https://jvet-experts.org/doc_end_user/documents/17_Brussels/wg11/JVET-Q0712-v3.zip,1
JVET-Q0714,m52678,2020-01-08 10:25:48,2020-01-08 10:47:27,2020-01-11 10:27:57,Crosscheck of JVET-Q0268 (CE4-related: GEO with 32 modes),"T.  Hashimoto, T.  Ikai (Sharp)",https://jvet-experts.org/doc_end_user/documents/17_Brussels/wg11/JVET-Q0714-v2.zip,3
JVET-Q0715,m52679,2020-01-08 10:33:30,2020-01-15 17:34:52,2020-01-15 17:34:52,Crosscheck of JVET-Q0491 (CE2-related: Palette escape binarization),Y.-H. Chao (Qualcomm),https://jvet-experts.org/doc_end_user/documents/17_Brussels/wg11/JVET-Q0715-v1.zip,3
JVET-Q0716,m52680,2020-01-08 10:35:12,2020-01-15 18:06:14,2020-01-15 18:06:14,Crosscheck of JVET-Q0519 ( Non-CE2: On signaling of maximum palette size and maximum palette predictor size ),Y.-H. Chao (Qualcomm),https://jvet-experts.org/doc_end_user/documents/17_Brussels/wg11/JVET-Q0716-v1.zip,3
JVET-Q0717,m52681,2020-01-08 10:47:11,2020-01-08 12:25:42,2020-01-08 12:25:42,Crosscheck of JVET-Q0492 (Non-CE2: Palette encoding with high QPs),"Y.-C. Nien, T.-H. Li, Y.-C. Yang(Foxconn)",https://jvet-experts.org/doc_end_user/documents/17_Brussels/wg11/JVET-Q0717-v1.zip,3
JVET-Q0718,m52682,2020-01-08 10:47:32,2020-01-14 11:53:10,2020-01-14 11:53:10,Crosscheck of JVET-Q0629 (CE2-related: Palette mode excluding small blocks),"Y.-C. Nien, T.-H. Li, Y.-C. Yang(Foxconn)",https://jvet-experts.org/doc_end_user/documents/17_Brussels/wg11/JVET-Q0718-v1.zip,3
JVET-Q0719,m52683,2020-01-08 10:54:55,2020-01-10 13:57:07,2020-01-10 13:57:07,Crosscheck of JVET-Q0168 (CE4-related: On GEO cleanups),"A. Filippov, V. Rufitskiy (Huawei)",https://jvet-experts.org/doc_end_user/documents/17_Brussels/wg11/JVET-Q0719-v1.zip,3
JVET-Q0720,m52685,2020-01-08 11:00:22,2020-01-10 08:25:03,2020-01-10 08:25:03,Crosscheck of JVET-Q0378 (Non-CE5: On the number of ALF Chroma filters),"V. Rufitskiy, A. Filippov (Huawei)",https://jvet-experts.org/doc_end_user/documents/17_Brussels/wg11/JVET-Q0720-v1.zip,3
JVET-Q0721,m52686,2020-01-08 11:17:23,2020-01-09 19:39:09,2020-01-09 19:39:09,Crosscheck of JVET-Q0440 (Non-CE4: Disabling TrSkip for Geo),B. Ray (Qualcomm),https://jvet-experts.org/doc_end_user/documents/17_Brussels/wg11/JVET-Q0721-v1.zip,3
JVET-Q0723,m52689,2020-01-08 11:51:07,2020-01-08 22:04:21,2020-01-08 22:04:21,Crosscheck of JVET-Q0227: Dependent Quantization with Qp offset adaptation,H. Schwarz (Fraunhofer HHI),https://jvet-experts.org/doc_end_user/documents/17_Brussels/wg11/JVET-Q0723-v1.zip,3
JVET-Q0724,m52690,2020-01-08 11:52:49,2020-01-08 22:32:27,2020-01-08 22:32:27,Crosscheck of JVET-Q0627: On Dependent Quantization: combination of JVET-Q0243 and JVET-Q0227,H. Schwarz (Fraunhofer HHI),https://jvet-experts.org/doc_end_user/documents/17_Brussels/wg11/JVET-Q0724-v1.zip,3
JVET-Q0725,m52693,2020-01-08 12:08:31,2020-01-09 09:59:59,2020-01-09 09:59:59,Crosscheck of JVET-Q0582 (Harmonization of JVET-Q0451 and JVET-Q0453 for MIP & LFNST design),"H. Chen, X. Ma (Huawei)",https://jvet-experts.org/doc_end_user/documents/17_Brussels/wg11/JVET-Q0725-v1.zip,3
JVET-Q0726,m52694,2020-01-08 12:20:36,2020-01-08 12:51:28,2020-01-08 12:51:28,Cross-check of JVET-Q0446 (MIP with constant shifts and offsets),F. Bossen (Sharp),https://jvet-experts.org/doc_end_user/documents/17_Brussels/wg11/JVET-Q0726-v1.zip,3
JVET-Q0728,m52697,2020-01-08 14:45:38,2020-01-15 02:51:18,2020-01-15 02:51:18,Crosscheck of JVET-Q0429 (CE4-related: Geometric partitioning signaling),"T. Zhou, T. Ikai (Sharp),",https://jvet-experts.org/doc_end_user/documents/17_Brussels/wg11/JVET-Q0728-v1.zip,3
JVET-Q0729,m52698,2020-01-08 14:45:51,2020-01-09 17:03:14,2020-01-09 19:00:58,Cross-check of JVET-Q0138 (Separate transform skip checking of Luma and Chroma for LFNST index signalling),"C. Rosewarne, J. Gan (Canon)",https://jvet-experts.org/doc_end_user/documents/17_Brussels/wg11/JVET-Q0729-v2.zip,3
JVET-Q0730,m52699,2020-01-08 15:41:35,2020-01-09 08:40:20,2020-01-09 08:40:20,"Cross-check of JVET-Q0448 ""MTS dependent coefficient subblock scanning for zero-out""",F. Le Léannec (InterDigital),https://jvet-experts.org/doc_end_user/documents/17_Brussels/wg11/JVET-Q0730-v1.zip,3
JVET-Q0731,m52700,2020-01-08 15:41:47,2020-01-10 11:00:11,2020-01-10 11:00:11,"Cross-check of JVET-Q0686 ""Chroma LFNST Simplification and Signaling""",F. Le Léannec (InterDigital),https://jvet-experts.org/doc_end_user/documents/17_Brussels/wg11/JVET-Q0731-v1.zip,3
JVET-Q0733,m52702,2020-01-08 16:54:39,2020-01-11 09:55:59,2020-01-11 09:55:59,Crosscheck of JVET-Q0322 (CE1-related: Long luma deblocking filter decision modification),X.W. Meng(PKU),https://jvet-experts.org/doc_end_user/documents/17_Brussels/wg11/JVET-Q0733-v1.zip,3
JVET-Q0734,m52704,2020-01-08 17:21:23,2020-01-08 17:52:29,2020-01-08 17:52:29,Crosscheck of JVET-Q0321 (Non-CE1: Deblocking filter decision simplification),X.W. Meng(PKU),https://jvet-experts.org/doc_end_user/documents/17_Brussels/wg11/JVET-Q0734-v1.zip,3
JVET-Q0735,m52707,2020-01-08 19:35:55,2020-01-10 09:43:26,2020-01-10 09:43:26,Crosscheck of JVET-Q0529 (On LFNST index and MTS index signaling),C. Auyeung (Tencent),https://jvet-experts.org/doc_end_user/documents/17_Brussels/wg11/JVET-Q0735-v1.zip,3
JVET-Q0736,m52709,2020-01-08 20:17:16,2020-01-12 11:30:25,2020-01-12 11:30:25,Cross-check result of JVET-Q0251: CE5-related: Unified cross component adaptive loop filter,Z. Zhang(Ericsson),https://jvet-experts.org/doc_end_user/documents/17_Brussels/wg11/JVET-Q0736-v1.zip,3
JVET-Q0737,m52710,2020-01-08 20:18:05,2020-01-10 22:49:37,2020-01-10 22:49:37,Crosscheck of JVET-Q0510 (ACT color conversion for both lossless and lossy coding),H. Huang (Qualcomm),https://jvet-experts.org/doc_end_user/documents/17_Brussels/wg11/JVET-Q0737-v1.zip,3
JVET-Q0738,m52711,2020-01-08 20:20:09,2020-01-12 11:30:03,2020-01-12 11:30:03,Cross-check result of JVET-Q0189: CE4-related: Reducing GEO modes,Z. Zhang(Ericsson),https://jvet-experts.org/doc_end_user/documents/17_Brussels/wg11/JVET-Q0738-v1.zip,3
JVET-Q0739,m52712,2020-01-08 21:38:49,2020-01-10 18:30:10,2020-01-10 18:30:10,Crosscheck of JVET-Q0442 (Non-CE: Transform Selection for MIP in Implicit MTS),"M. Schäfer, J. Pfaff (HHI)",https://jvet-experts.org/doc_end_user/documents/17_Brussels/wg11/JVET-Q0739-v1.zip,3
JVET-Q0740,m52713,2020-01-08 21:41:15,2020-01-10 13:15:04,2020-01-14 18:28:24,Crosscheck of JVET-Q0451 (On mipSizeId modification for 8x8 blocks),"M. Schäfer, J. Pfaff (HHI)",https://jvet-experts.org/doc_end_user/documents/17_Brussels/wg11/JVET-Q0740-v2.zip,3
JVET-Q0741,m52714,2020-01-08 21:42:35,2020-01-10 14:36:23,2020-01-14 18:34:04,Crosscheck of JVET-Q0452 (Modification of up-sampling in MIP),"M. Schäfer, J. Pfaff (HHI)",https://jvet-experts.org/doc_end_user/documents/17_Brussels/wg11/JVET-Q0741-v2.zip,3
JVET-Q0742,m52715,2020-01-08 23:38:34,2020-01-10 00:51:51,2020-01-13 23:50:11,Crosscheck of JVET-Q0702 (Non-CE2: On palette predictor initialization in WPP),T.  Lu (Dolby),https://jvet-experts.org/doc_end_user/documents/17_Brussels/wg11/JVET-Q0742-v3.zip,3
JVET-Q0743,m52726,2020-01-09 08:12:11,2020-01-09 08:15:49,2020-01-09 08:15:49,AHG9: A summary of proposals on HRD,Y. Sanchez (HHI),https://jvet-experts.org/doc_end_user/documents/17_Brussels/wg11/JVET-Q0743-v1.zip,2
JVET-Q0744,m52727,2020-01-09 08:26:34,2020-01-27 19:33:07,2020-01-27 19:33:07,Crosscheck of JVET-Q0314 (Non-CE: Retrained LFNST Matrices),S. De-Luxán-Hernández (HHI),https://jvet-experts.org/doc_end_user/documents/17_Brussels/wg11/JVET-Q0744-v1.zip,3
JVET-Q0745,m52728,2020-01-09 08:28:22,2020-01-12 09:15:32,2020-01-12 09:15:32,Crosscheck of JVET-Q0430 (AHG16: Syntax based MTS zero out),S. De-Luxán-Hernández (HHI),https://jvet-experts.org/doc_end_user/documents/17_Brussels/wg11/JVET-Q0745-v1.zip,3
JVET-Q0746,m52729,2020-01-09 08:38:04,2020-01-11 11:22:53,2020-01-27 20:26:18,Crosscheck of JVET-Q0464 (On modifications of intra prediction process),S. De-Luxán-Hernández (HHI),https://jvet-experts.org/doc_end_user/documents/17_Brussels/wg11/JVET-Q0746-v2.zip,3
JVET-Q0748,m52731,2020-01-09 09:00:01,2020-01-09 09:08:37,2020-01-14 11:10:45,Crosscheck of JVET-Q0266 (On TPM and GEO merge modes in presence of weighted prediction),P. Bordes (InterDigital),https://jvet-experts.org/doc_end_user/documents/17_Brussels/wg11/JVET-Q0748-v2.zip,3
JVET-Q0749,m52733,2020-01-09 09:44:06,2020-01-09 09:53:50,2020-01-09 09:53:50,CE3-related: Additional Results with Luma and Chroma BDPCM on CE3-2.5,"A. Nalci, H. E. Egilmez, M. Coban, M. Karczewicz (Qualcomm), T.-C. Ma, H.-J. Jhu, X. Xiu, Y.-W. Chen, X. Wang (Kwai Inc.)",https://jvet-experts.org/doc_end_user/documents/17_Brussels/wg11/JVET-Q0749-v1.zip,1
JVET-Q0750,m52734,2020-01-09 09:52:43,2020-01-10 21:02:23,2020-01-10 21:02:23,Crosscheck of JVET-Q0695 (Combined encoder improvements of JVET-Q0101/JVET-Q0408/JVET-Q0514 on JCCR with chroma transform skip),"C. Helmrich, H. Schwarz (HHI)",https://jvet-experts.org/doc_end_user/documents/17_Brussels/wg11/JVET-Q0750-v1.zip,3
JVET-Q0751,m52737,2020-01-09 09:57:48,2020-01-09 11:13:24,2020-01-14 17:20:41,AHG9: On mixed NAL unit types,"J. Samuelsson, S. Deshpande (Sharp), M. M. Hannuksela (Nokia), Hendry, S. Paluri (LGE), B. Choi, S. Wenger (Tencent), R. Skupin, Y. Sanchez, K. Sühring, T. Schierl (HHI)",https://jvet-experts.org/doc_end_user/documents/17_Brussels/wg11/JVET-Q0751-v2.zip,2
JVET-Q0752,m52740,2020-01-09 10:00:39,2020-01-09 11:31:15,2020-01-09 11:31:15,Crosscheck of JVET-Q0347 (CE3-related: Fixed rice parameters in transform residual coding),H. Kirchhoffer (HHI),https://jvet-experts.org/doc_end_user/documents/17_Brussels/wg11/JVET-Q0752-v1.zip,3
JVET-Q0753,m52741,2020-01-09 10:03:20,2020-01-09 10:09:55,2020-01-09 10:09:55,Crosscheck of JVET-Q0471 (On chroma QT split),S.H. Wang(PKU),https://jvet-experts.org/doc_end_user/documents/17_Brussels/wg11/JVET-Q0753-v1.zip,3
JVET-Q0754,m52747,2020-01-09 11:32:37,2020-01-12 14:45:35,2020-01-14 19:09:39,Crosscheck report for JVET-Q0527 (AHG9: Gradual Decoding Refresh for VVC),H. Jang (LGE),https://jvet-experts.org/doc_end_user/documents/17_Brussels/wg11/JVET-Q0754-v2.zip,3
JVET-Q0755,m52748,2020-01-09 11:33:26,2020-01-12 14:45:55,2020-01-14 19:10:08,Crosscheck report for JVET-Q0560 (AHG9: Gradual Decoding Refresh without Forcing Intra Area),H. Jang (LGE),https://jvet-experts.org/doc_end_user/documents/17_Brussels/wg11/JVET-Q0755-v3.zip,3
JVET-Q0756,m52749,2020-01-09 11:50:04,2020-01-11 18:52:19,2020-01-11 18:52:19,Cross-check of JVET-Q0449 on smoothing filter with RPR,V. Seregin (Qualcomm),https://jvet-experts.org/doc_end_user/documents/17_Brussels/wg11/JVET-Q0756-v1.zip,3
JVET-Q0757,m52750,2020-01-09 14:49:39,2020-01-10 18:16:22,2020-01-15 17:06:27,Crosscheck of JVET-Q0450 (On fixed sW and fO in MIP),"K. Kondo, M. Ikeda, (Sony)",https://jvet-experts.org/doc_end_user/documents/17_Brussels/wg11/JVET-Q0757-v2.zip,3
JVET-Q0758,m52751,2020-01-09 15:00:48,2020-01-10 15:04:09,2020-01-10 15:04:09,Crosscheck of JVET-Q0556 (Aligning intra-prediction of TS blocks with BDPCM),"V. Rufitskiy, A. Filippov (Huawei)",https://jvet-experts.org/doc_end_user/documents/17_Brussels/wg11/JVET-Q0758-v1.zip,3
JVET-Q0759,m52752,2020-01-09 15:08:31,2020-01-16 00:39:15,2020-01-16 00:39:15,Crosscheck of JVET-Q0295 (On residual coding for MTS),M.  Koo (LGE),https://jvet-experts.org/doc_end_user/documents/17_Brussels/wg11/JVET-Q0759-v1.zip,3
JVET-Q0760,m52753,2020-01-09 15:12:26,2020-01-13 15:39:37,2020-01-13 15:39:37,Crosscheck of JVET-Q0508 Test 1 (CE4-related: Combined test of JVET-Q0268 and JVET-Q0123),R.-L. Liao (Alibaba),https://jvet-experts.org/doc_end_user/documents/17_Brussels/wg11/JVET-Q0760-v1.zip,3
JVET-Q0761,m52757,2020-01-09 19:07:34,2020-01-09 19:12:31,2020-01-11 07:21:24,BoG report of CE4 related contributions on inter prediction with geometric partitioning,H. Yang,https://jvet-experts.org/doc_end_user/documents/17_Brussels/wg11/JVET-Q0761-v2.zip,0
JVET-Q0762,m52758,2020-01-09 19:52:55,2020-01-10 11:21:46,2020-01-17 15:15:38,Crosscheck of JVET-Q0509: CE2-1.1-related: Encoder optimization with adjusted palette clustering steps,J. Luo (Alibaba),https://jvet-experts.org/doc_end_user/documents/17_Brussels/wg11/JVET-Q0762-v2.zip,3
JVET-Q0763,m52759,2020-01-09 21:30:09,2020-01-17 10:40:12,2020-01-17 10:40:12,Crosscheck of JVET-Q0314 (Non-CE: Retrained LFNST Matrices),"X.Z.  Zheng(DJI), X.W. Meng (PKU)",https://jvet-experts.org/doc_end_user/documents/17_Brussels/wg11/JVET-Q0763-v1.zip,3
JVET-Q0764,m52760,2020-01-09 23:09:43,2020-01-10 08:39:50,2020-01-11 21:18:35,AHG9: Text for combination of wrap around offset and RPR,"B. Choi, S. Wenger, S. Liu (Tencent), B. Heng, P. Chen, T. Hellman, W. Wan, M. Zhou (Broadcom), M. M. Hannuksela (Nokia), Y.-J. Chang, V. Seregin, M. Coban, M. Karczewicz (Qualcomm)",https://jvet-experts.org/doc_end_user/documents/17_Brussels/wg11/JVET-Q0764-v3.zip,2
JVET-Q0765,m52762,2020-01-10 00:01:13,2020-01-12 23:44:58,2020-01-12 23:44:58,Crosscheck of JVET-Q0366 (Simplification of interpolation filtering for intra prediction),J. Heo (LGE),https://jvet-experts.org/doc_end_user/documents/17_Brussels/wg11/JVET-Q0765-v1.zip,3
JVET-Q0766,m52764,2020-01-10 00:47:50,2020-01-10 00:50:36,2020-01-10 00:50:36,[AHG9]: Override mechanism for SAO and ALF syntax elements (Combination of JVET-Q0175 and JVET-Q0254),"A. M.  Kotra, S.  Esenlik, B.  Wang, H.  Gao, E.  Alshina (Huawei), C.-M.  Tsai, C.-W.  Hsu, C.-Y.  Lai, O.  Chubach, T.-D.  Chuang, C.-Y.  Chen, Y.-W.  Huang, S.-M.  Lei (MediaTek)",https://jvet-experts.org/doc_end_user/documents/17_Brussels/wg11/JVET-Q0766-v1.zip,2
JVET-Q0768,m52768,2020-01-10 07:58:06,2020-01-10 08:07:47,2020-01-10 08:07:47,Crosscheck of JVET-Q0526 (CE4-related: GEO support for 4xN and Nx4 CU),T.Zhou (Sharp),https://jvet-experts.org/doc_end_user/documents/17_Brussels/wg11/JVET-Q0768-v1.zip,3
JVET-Q0769,m52770,2020-01-10 10:17:38,2020-01-10 11:24:11,2020-01-10 12:20:13,BoG Report on CE1 informal viewing session,M. Wien (RWTH),https://jvet-experts.org/doc_end_user/documents/17_Brussels/wg11/JVET-Q0769-v2.zip,0
JVET-Q0770,m52771,2020-01-10 10:26:35,2020-01-11 09:32:52,2020-01-11 09:32:52,"Cross-check of JVET-Q0242 (Cleanup of TPM, CIIP and GEO for 4:0:0 format)",Y.-W. Chen (Kwai Inc.),https://jvet-experts.org/doc_end_user/documents/17_Brussels/wg11/JVET-Q0770-v1.zip,3
JVET-Q0771,m52772,2020-01-10 11:39:48,2020-01-12 00:56:01,2020-01-12 00:56:01,Crosscheck of JVET-Q0695 (Combined encoder improvements of JVET-Q0101/JVET-Q0408/JVET-Q0514 on JCCR with chroma transform skip) : YUV444 DualTree ON,J. Zhao (LGE),https://jvet-experts.org/doc_end_user/documents/17_Brussels/wg11/JVET-Q0771-v1.zip,3
JVET-Q0772,m52773,2020-01-10 12:07:57,2020-01-10 15:44:49,2020-01-11 11:38:56,Crosscheck of JVET-Q0712 (Non-CE2: Extention of error limit table in JVET-Q0503 to high QP),"S. Yoo, J.  Lim (LGE)",https://jvet-experts.org/doc_end_user/documents/17_Brussels/wg11/JVET-Q0772-v2.zip,3
JVET-Q0773,m52774,2020-01-10 12:35:15,2020-01-10 12:36:56,2020-01-10 12:36:56,AHG9: A summary of HLS contributions on mixed NAL unit types within a coded picture,"Hendry (LGE),",https://jvet-experts.org/doc_end_user/documents/17_Brussels/wg11/JVET-Q0773-v1.zip,2
JVET-Q0774,m52777,2020-01-10 17:44:35,2020-01-16 15:16:42,2020-01-16 15:16:42,Crosscheck of JVET-Q0274 (MIP with fixed-length mode coding and memory reduction),"M. Schäfer, J. Pfaff (HHI)",https://jvet-experts.org/doc_end_user/documents/17_Brussels/wg11/JVET-Q0774-v1.zip,3
JVET-Q0775,m52779,2020-01-10 18:46:12,2020-01-10 19:16:28,2020-01-10 19:16:28,AHG9: Picture Header in Slice Header,"J. Samuelsson, S. Deshpande (Sharp), R. Sjöberg, M. Pettersson, M. Damghanian, D. Saffar (Ericsson), L. Li, B. Choi, X. Xu, X. Li, S. Wenger, S. Liu (Tencent)",https://jvet-experts.org/doc_end_user/documents/17_Brussels/wg11/JVET-Q0775-v1.zip,2
